OID_,Date,Time,Latitude,Longitude,Turtle_ID,Turtle_sex,Altitude,Duration,Temperature,Voltage,DOP,Satellites,EST_Time,NEAR_FID,NEAR_DIST
1,5/12/2022 0:00:00,19:00,41.578826669999998,-71.720115969999995,L1R2,male,10.173333330000000,22.000000000000000,26.333333329999999,0,2.200000000000000,5.000000000000000,5/12/2022 19:00:00,2,32.306191295831880
2,5/13/2022 0:00:00,7:00,41.577608849999997,-71.720271199999999,L1R2,male,3.660000000000000,66.000000000000000,20.000000000000000,0,2.100000000000000,4.500000000000000,5/13/2022 7:00:00,2,15.871868125803545
3,5/13/2022 0:00:00,11:00,41.577627200000002,-71.720049270000004,L1R2,male,-15.456666670000001,18.333333329999999,24.000000000000000,0,1.933333333000000,4.666666667000000,5/13/2022 11:00:00,2,2.454876047570625
4,5/13/2022 0:00:00,19:00,41.577891330000000,-71.719992529999999,L1R2,male,4.213333333000000,45.000000000000000,28.166666670000001,0,2.333333333000000,4.333333333000000,5/13/2022 19:00:00,4,7.438542840815620
5,5/14/2022 0:00:00,7:00,41.577903970000001,-71.720095929999999,L1R2,male,16.193333330000002,35.666666669999998,20.666666670000001,0,2.333333333000000,4.333333333000000,5/14/2022 7:00:00,2,7.476812024004497
6,5/14/2022 0:00:00,11:00,41.577952500000002,-71.720024530000003,L1R2,male,-5.956666667000000,33.000000000000000,41.166666669999998,0,1.866666667000000,5.000000000000000,5/14/2022 11:00:00,2,14.721004518029089
7,5/15/2022 0:00:00,11:00,41.577513529999997,-71.720117569999999,L1R2,male,23.383333329999999,13.666666670000000,24.166666670000001,0,2.000000000000000,5.000000000000000,5/15/2022 11:00:00,2,6.601531769263987
8,5/16/2022 0:00:00,11:00,41.577849829999998,-71.720006170000005,L1R2,male,10.410000000000000,20.000000000000000,39.166666669999998,0,2.200000000000000,5.000000000000000,5/16/2022 11:00:00,4,3.418782635520584
9,5/17/2022 0:00:00,11:00,41.578856469999998,-71.720421669999993,L1R2,male,72.243333329999999,25.000000000000000,26.000000000000000,0,1.600000000000000,5.000000000000000,5/17/2022 11:00:00,2,7.854850105468916
10,5/19/2022 0:00:00,11:00,41.578446999999997,-71.720305769999996,L1R2,male,15.516666669999999,17.666666670000001,14.500000000000000,0,2.400000000000000,5.000000000000000,5/19/2022 11:00:00,2,7.871106731841329
11,5/20/2022 0:00:00,11:00,41.578747730000003,-71.720367130000000,L1R2,male,17.546666670000000,23.666666670000001,21.166666670000001,0,2.400000000000000,5.000000000000000,5/20/2022 11:00:00,2,10.097607483456446
12,5/21/2022 0:00:00,11:00,41.578617829999999,-71.720292169999993,L1R2,male,19.239999999999998,24.333333329999999,24.000000000000000,0,2.600000000000000,5.000000000000000,5/21/2022 11:00:00,2,13.580684002265432
13,5/21/2022 0:00:00,19:00,41.578571730000000,-71.720281670000006,L1R2,male,31.039999999999999,18.666666670000001,27.166666670000001,0,2.266666667000000,4.666666667000000,5/21/2022 19:00:00,2,13.496661239855721
14,5/22/2022 0:00:00,11:00,41.577816900000002,-71.720002469999997,L1R2,male,4.490000000000000,41.000000000000000,38.500000000000000,0,1.800000000000000,4.333333333000000,5/22/2022 11:00:00,4,0.151250080752866
15,5/23/2022 0:00:00,11:00,41.577447700000000,-71.720000569999996,L1R2,male,-5.543333333000000,38.000000000000000,27.166666670000001,0,2.666666667000000,4.333333333000000,5/23/2022 11:00:00,2,0.672311370473140
16,5/27/2022 0:00:00,11:00,41.577427329999999,-71.719954270000002,L1R2,male,25.133333329999999,34.666666669999998,18.833333329999999,0,1.666666667000000,5.333333333000000,5/27/2022 11:00:00,2,3.730518335953983
17,5/27/2022 0:00:00,19:00,41.577573630000003,-71.719796700000003,L1R2,male,21.886666670000000,17.666666670000001,22.666666670000001,0,2.000000000000000,5.000000000000000,5/27/2022 19:00:00,2,20.957258058942571
18,5/28/2022 0:00:00,7:00,41.577509800000001,-71.719931200000005,L1R2,male,-5.786666667000000,13.666666670000000,19.666666670000001,0,1.800000000000000,5.333333333000000,5/28/2022 7:00:00,2,8.183406082301808
19,5/28/2022 0:00:00,11:00,41.577494430000002,-71.719959599999996,L1R2,male,20.753333330000000,70.000000000000000,23.000000000000000,0,3.666666667000000,3.666666667000000,5/28/2022 11:00:00,2,5.426366124349874
20,5/28/2022 0:00:00,19:00,41.577567969999997,-71.719868770000005,L1R2,male,20.083333329999999,18.000000000000000,22.666666670000001,0,1.600000000000000,5.000000000000000,5/28/2022 19:00:00,2,15.015219143001673
21,5/29/2022 0:00:00,7:00,41.577588669999997,-71.719894199999999,L1R2,male,16.489999999999998,24.666666670000001,14.333333330000000,0,2.200000000000000,5.000000000000000,5/29/2022 7:00:00,2,13.636424268131035
22,5/29/2022 0:00:00,11:00,41.577744830000000,-71.719517699999997,L1R2,male,25.563333329999999,26.000000000000000,36.666666669999998,0,1.800000000000000,5.000000000000000,5/29/2022 11:00:00,4,20.451879596683927
23,6/22/2022 0:00:00,7:00,41.577485850000002,-71.720872200000002,L1R2,male,-8.065000000000000,70.000000000000000,20.000000000000000,0,3.100000000000000,4.000000000000000,6/22/2022 7:00:00,2,67.820443506724885
24,6/22/2022 0:00:00,11:00,41.577352400000002,-71.720862199999999,L1R2,male,-1.140000000000000,70.000000000000000,21.500000000000000,0,2.200000000000000,4.000000000000000,6/22/2022 11:00:00,2,71.241294534795458
25,6/22/2022 0:00:00,19:00,41.577579870000001,-71.720920399999997,L1R2,male,19.600000000000001,23.000000000000000,25.000000000000000,0,1.600000000000000,5.000000000000000,6/22/2022 19:00:00,2,68.701154924807028
26,6/23/2022 0:00:00,7:00,41.577477299999998,-71.720892699999993,L1R2,male,5.820000000000000,26.666666670000001,17.666666670000001,0,1.200000000000000,6.000000000000000,6/23/2022 7:00:00,2,69.730085360838203
27,6/23/2022 0:00:00,11:00,41.577203869999998,-71.720715200000001,L1R2,male,1.373333333000000,67.666666669999998,33.833333330000002,0,2.400000000000000,3.666666667000000,6/23/2022 11:00:00,2,64.184093587209333
28,6/24/2022 0:00:00,11:00,41.577274000000003,-71.720278870000001,L1R2,male,18.719999999999999,44.666666669999998,29.333333329999999,0,1.933333333000000,4.666666667000000,6/24/2022 11:00:00,2,27.075203540576833
29,6/25/2022 0:00:00,11:00,41.577324030000000,-71.720477900000006,L1R2,male,-0.106666667000000,70.000000000000000,38.333333330000002,0,3.266666667000000,3.000000000000000,6/25/2022 11:00:00,2,41.408272078590983
30,6/26/2022 0:00:00,11:00,41.577246570000000,-71.720583700000006,L1R2,male,8.080000000000000,70.000000000000000,36.333333330000002,0,2.133333333000000,3.666666667000000,6/26/2022 11:00:00,2,52.318220020168894
31,6/27/2022 0:00:00,19:00,41.577616350000000,-71.720954649999996,L1R2,male,-33.439999999999998,26.500000000000000,22.500000000000000,0,3.800000000000000,5.000000000000000,6/27/2022 19:00:00,2,70.286171081169840
32,6/28/2022 0:00:00,11:00,41.577389699999998,-71.720549050000002,L1R2,male,18.295000000000002,70.000000000000000,33.500000000000000,0,2.700000000000000,4.000000000000000,6/28/2022 11:00:00,2,45.020774482495611
33,6/28/2022 0:00:00,19:00,41.577485729999999,-71.720732100000006,L1R2,male,9.283333333000000,45.000000000000000,29.500000000000000,0,1.733333333000000,5.333333333000000,6/28/2022 19:00:00,2,56.621207862395906
34,6/29/2022 0:00:00,7:00,41.577468500000002,-71.720901269999999,L1R2,male,14.960000000000001,16.000000000000000,13.000000000000000,0,2.200000000000000,5.000000000000000,6/29/2022 7:00:00,2,70.693662721470261
35,6/29/2022 0:00:00,11:00,41.577505750000000,-71.720894799999996,L1R2,male,1.505000000000000,70.000000000000000,36.500000000000000,0,2.900000000000000,3.500000000000000,6/29/2022 11:00:00,2,68.998173391860689
