"","L1R2","L1R4","L3R1","L3R3","L3R9","L9R0"
"75",1.28992064674094,8.59760734783777,16.4826940363128,3.00442911793652,4.74124203719839,9.24387040868169
"80",1.39057442538615,8.97936752153328,16.8272258633806,3.74186652152275,5.47000718142954,9.51954211814154
"85",1.4211734651326,9.29706675378839,16.9645677488006,4.03838998863648,6.79224990562943,9.62021749728592
"90",1.6403762401751,10.3167233191925,30.5092275993957,4.44417401013197,9.12432801669638,12.992788470001
"95",2.97113115266257,12.8509911974106,45.1939399681578,6.1321945850068,9.24725054574083,13.3351429667528
"100",5.39787924935808,24.2910680299246,46.9707297270361,6.33909417047107,10.0942311291874,16.6764718869672
